"TheoremID","FileName","CsvRow","RecordIdentity","FieldName","EntryAuthority","HoldReason","GateStatus","Instruction"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","DeclaredUncertainty","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","EntryCondition","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ObserverClass","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","PriorExposure","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseStatus","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseText","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","SourceReferences","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Provide a traceable reference to the supporting controlled source or observation."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","SubmittedAt","OBSERVED_EXECUTION_ONLY","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Enter only what was directly observed during controlled execution. Do not infer missing facts."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AdjudicationStatus","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentResult","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Use only an authorized value defined by the trial procedure or data dictionary."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Compensability","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Assess against the declared semantic criteria and cite the supporting response evidence."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","GOVERNED_ASSESSOR_JUDGMENT","ACTUAL_CONTROLLED_EXECUTION_REQUIRED","BLOCKED_PENDING_EXECUTION","Provide a traceable reference to the supporting controlled source or observation."
