"EvaluationID","TrialID","ConditionID","ConditionType","ConditionText","EvidenceReferences","EvaluationState","Determination","Evaluator","EvaluatedAt","Notes"
"CE-0001","MS-T1-TRIAL-0001","FC-001","FALSIFICATION","MS-T1 is falsified within the tested scope when:","","NOT_EVALUATED","UNRESOLVED","","",""
"CE-0002","MS-T1-TRIAL-0001","FC-002","FALSIFICATION","MS-T1 is falsified within scope when unrestricted entry performs equivalently or better across repeated trials using the same material-property criteria.","","NOT_EVALUATED","UNRESOLVED","","",""
"","MS-T1-TRIAL-0001","MS-T1-SC-003","","","MS-T1-EV-0001|MS-T1-EV-0004","SATISFIED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-SC-004","","","MS-T1-EV-0001|MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-SC-005","","","MS-T1-EV-0002|MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-SC-006","","","MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-SC-007","","","MS-T1-EV-0001|MS-T1-EV-0004|MS-T1-EV-0005","SATISFIED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-SC-008","","","MS-T1-EV-0003|MS-T1-EV-0004","SATISFIED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-FC-009","","","MS-T1-EV-0004","NOT_TRIGGERED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-FC-010","","","MS-T1-EV-0003|MS-T1-EV-0004","NOT_TRIGGERED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
"","MS-T1-TRIAL-0001","MS-T1-FC-011","","","MS-T1-EV-0003|MS-T1-EV-0004","NOT_TRIGGERED","","MORNING_STAR_VERIFICATION_RUNTIME","2026-07-22T20:20:42.6136010Z","Evaluated against admitted controlled reference evidence."
